bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4580,2025-03-18 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4581,2025-03-18 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4582,2025-03-18 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4583,2025-03-18 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4584,2025-03-18 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4585,2025-03-18 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4586,2025-03-18 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4587,2025-03-18 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4588,2025-03-18 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4589,2025-03-18 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4590,2025-03-18 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4591,2025-03-18 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4592,2025-03-18 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4593,2025-03-18 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4594,2025-03-18 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4595,2025-03-18 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4596,2025-03-19 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4597,2025-03-19 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4598,2025-03-19 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4599,2025-03-19 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4600,2025-03-19 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4601,2025-03-19 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4602,2025-03-19 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4603,2025-03-19 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
