side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
short,115504.48,2025-09-17 17:55:00+00:00,115504.48,2025-09-17 18:20:00+00:00,stop_loss,-0.8257900794348894,True
short,115480.0,2025-09-17 18:10:00+00:00,115480.0,2025-09-17 19:00:00+00:00,stop_loss,-0.6657058736206797,True
short,116171.36,2025-09-19 14:35:00+00:00,115800.0,2025-09-19 15:25:00+00:00,ema9_trail,4.738960947738875,True
short,115336.74,2025-09-19 20:45:00+00:00,116082.0142857143,2025-09-20 15:15:00+00:00,stop_loss,-14.523449816845655,False
short,115499.99,2025-09-21 02:15:00+00:00,115499.99,2025-09-21 09:40:00+00:00,stop_loss,-1.3236066551050965,True
short,115526.92,2025-09-19 23:35:00+00:00,114649.9,2025-09-22 01:25:00+00:00,ema9_trail,12.659189855613675,True
short,112912.47,2025-09-22 14:35:00+00:00,112474.31,2025-09-22 17:40:00+00:00,ema9_trail,6.465043657268378,True
short,112716.94,2025-09-22 12:00:00+00:00,112280.01,2025-09-22 20:25:00+00:00,ema9_trail,6.456996579218812,True
short,112560.15,2025-09-22 18:45:00+00:00,112280.01,2025-09-22 20:25:00+00:00,ema9_trail,3.951383606263581,True
short,112527.49,2025-09-22 19:15:00+00:00,112280.01,2025-09-22 20:25:00+00:00,ema9_trail,3.397004985816775,True
short,111767.3,2025-09-25 08:40:00+00:00,111507.76,2025-09-25 12:30:00+00:00,ema9_trail,3.4656152815461856,True
short,109132.99,2025-09-25 23:30:00+00:00,110726.27714285714,2025-09-28 20:30:00+00:00,stop_loss,-30.7990010143979,False
short,124309.5,2025-10-07 13:35:00+00:00,121846.01,2025-10-07 15:55:00+00:00,ema9_trail,35.034126917090084,True
short,121839.9,2025-10-08 03:00:00+00:00,123521.62285714285,2025-10-08 17:10:00+00:00,stop_loss,-29.205453667359492,False
short,121937.21,2025-10-09 06:05:00+00:00,121492.05,2025-10-09 09:00:00+00:00,ema9_trail,5.954871888572872,True
short,121950.0,2025-10-09 06:50:00+00:00,121492.05,2025-10-09 09:00:00+00:00,ema9_trail,6.1428618286182495,True
