side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2024-12-21 02:00:00,2024-12-21 14:00:00,3435.98,3529.99,105.44184774067342,MH,2024-12
L,2024-12-23 19:00:00,2024-12-24 07:00:00,3348.01,3420.74,82.89340832315263,MH,2024-12
S,2024-12-24 11:00:00,2024-12-24 23:00:00,3371.63,3489.63705,-143.99999999999966,SL,2024-12
L,2024-12-25 00:00:00,2024-12-25 12:00:00,3491.58,3487.55,-8.616821038039793,MH,2024-12
S,2024-12-26 13:00:00,2024-12-27 01:00:00,3440.27,3326.41,128.38495815735408,MH,2024-12
L,2024-12-29 15:00:00,2024-12-30 03:00:00,3396.0,3361.65,-44.45936395759707,MH,2024-12
L,2024-12-31 22:00:00,2025-01-01 10:00:00,3427.91,3361.81,-81.13154662753679,MH,2025-01
L,2025-01-02 06:00:00,2025-01-02 18:00:00,3367.6,3468.68,116.06176505523213,MH,2025-01
S,2025-01-03 15:00:00,2025-01-03 23:00:00,3441.88,3562.3458,-143.99999999999994,SL,2025-01
L,2025-01-03 23:00:00,2025-01-04 11:00:00,3526.54,3597.19,76.1352033437875,MH,2025-01
S,2025-01-05 17:00:00,2025-01-06 05:00:00,3618.98,3644.51,-32.21789565015579,MH,2025-01
L,2025-01-07 10:00:00,2025-01-07 22:00:00,3693.67,3564.39155,-144.00000000000026,SL,2025-01
S,2025-01-08 04:00:00,2025-01-08 16:00:00,3384.36,3364.56,19.401765769599194,MH,2025-01
L,2025-01-09 09:00:00,2025-01-09 21:00:00,3340.69,3223.76585,-144.00000000000034,SL,2025-01
S,2025-01-10 04:00:00,2025-01-10 15:00:00,3193.66,3305.4380999999994,-143.99999999999943,SL,2025-01
L,2025-01-10 19:00:00,2025-01-10 23:00:00,3316.91,3200.8181499999996,-144.0000000000003,SL,2025-01
L,2025-01-12 06:00:00,2025-01-12 18:00:00,3305.7,3243.14,-79.69954926339346,MH,2025-01
L,2025-01-12 22:00:00,2025-01-13 10:00:00,3266.0,3254.91,-17.58236374770379,MH,2025-01
S,2025-01-13 14:00:00,2025-01-14 02:00:00,3224.16,3006.4,266.1602898119197,MH,2025-01
L,2025-01-14 07:00:00,2025-01-14 19:00:00,3130.64,3216.22,105.34505404645687,MH,2025-01
S,2025-01-18 13:00:00,2025-01-19 01:00:00,3364.52,3257.01,123.81615208112868,MH,2025-01
L,2025-01-19 10:00:00,2025-01-19 16:00:00,3352.56,3235.2203999999997,-144.00000000000028,SL,2025-01
L,2025-01-20 02:00:00,2025-01-20 05:00:00,3442.35,3321.86775,-144.00000000000003,SL,2025-01
